ContactID,ClientID,StaffID,ContactDate,ContactType,ContactOutcome,ContactDurationMinutes,FollowUpDate,ContactNotesCategory
50001,3001,2017,2024-04-26,Email,Successful,90,2024-05-10,Crisis Support
50002,3001,2017,2024-05-30,In Person,Client Declined,,,Follow-Up
50003,3001,2017,2024-11-09,Email,Successful,60,2024-11-30,General Check-In
50004,3001,2017,2025-03-14,In Person,Successful,10,2025-04-04,Crisis Support
50005,3001,2017,2025-08-06,Video,Successful,10,2025-08-13,Documentation
50006,3001,2017,2025-09-04,Outreach Attempt,Successful,60,2025-09-07,Service Planning
50007,3001,2017,2025-09-14,Phone,Voicemail,,2025-10-14,General Check-In
50008,3001,2017,2025-10-08,In Person,Successful,90,2025-10-29,General Check-In
50009,3001,2017,2025-11-07,Video,No Answer,,2025-11-14,Crisis Support
50010,3001,2017,2026-02-28,In Person,Client Declined,,,Documentation
50011,3001,2017,2026-05-19,Phone,Successful,20,2026-06-18,Service Planning
50012,3001,2017,2026-06-03,Phone,Rescheduled,30,2026-06-24,Documentation
50013,3001,2017,2026-06-24,In Person,No Answer,,2026-06-27,Program Update
50014,3002,2017,2024-10-14,In Person,Successful,45,2024-11-04,Referral
50015,3002,2017,2024-12-28,Video,Successful,60,2025-01-11,Program Update
50016,3002,2017,2025-05-15,Phone,Successful,20,2025-06-14,Service Planning
50017,3002,2017,2025-06-19,Outreach Attempt,Voicemail,,2025-07-03,Crisis Support
50018,3002,2017,2026-01-30,Phone,Unable to Locate,,,Follow-Up
50019,3002,2017,2026-06-01,Outreach Attempt,No Answer,,2026-07-01,Service Planning
50020,3003,2013,2025-11-17,Phone,Voicemail,,2025-11-24,Referral
50021,3003,2013,2025-11-19,Text Message,Successful,90,2025-12-03,General Check-In
50022,3003,2013,2025-12-14,Phone,Unable to Locate,,,Crisis Support
50023,3003,2013,2025-12-21,Phone,Rescheduled,20,2026-01-11,Documentation
50024,3003,2013,2026-01-22,Email,Successful,10,2026-02-21,Program Update
50025,3003,2013,2026-01-23,In Person,Successful,15,2026-01-30,Service Planning
50026,3003,2013,2026-01-26,Email,Client Declined,,,Referral
50027,3003,2013,2026-02-28,In Person,Successful,10,2026-03-14,General Check-In
50028,3003,2013,2026-03-24,Outreach Attempt,Voicemail,,2026-04-07,Crisis Support
50029,3003,2013,2026-03-28,In Person,Voicemail,,2026-04-27,General Check-In
50030,3003,2013,2026-05-10,In Person,No Answer,,2026-05-13,Referral
50031,3003,2013,2026-06-14,Outreach Attempt,No Answer,,2026-06-28,Crisis Support
50032,3003,2013,2026-06-26,Outreach Attempt,Successful,20,2026-07-03,Service Planning
50033,3003,2013,2026-06-28,Phone,Successful,30,,General Check-In
50034,3004,2014,2025-11-23,Phone,Voicemail,,2025-12-14,Crisis Support
50035,3004,2014,2025-11-28,Email,Client Declined,,,Documentation
50036,3004,2014,2025-11-29,In Person,Successful,30,2025-12-02,Follow-Up
50037,3004,2014,2025-12-30,Email,Successful,45,2026-01-13,Program Update
50038,3004,2014,2026-01-02,Outreach Attempt,No Answer,,2026-01-16,General Check-In
50039,3004,2014,2026-01-06,Phone,Client Declined,,,Follow-Up
50040,3004,2014,2026-01-09,Text Message,No Answer,,2026-02-08,Service Planning
50041,3004,2014,2026-01-13,In Person,Successful,90,2026-02-03,General Check-In
50042,3004,2014,2026-01-22,Text Message,Successful,90,2026-02-05,General Check-In
50043,3004,2014,2026-01-23,Text Message,No Answer,,2026-01-30,General Check-In
50044,3004,2014,2026-01-31,Email,Successful,15,2026-03-02,Service Planning
50045,3004,2014,2026-02-10,Phone,Client Declined,,,General Check-In
50046,3004,2014,2026-02-10,Outreach Attempt,Unable to Locate,,,Service Planning
50047,3004,2014,2026-02-11,Phone,No Answer,,2026-02-25,Program Update
50048,3004,2014,2026-02-19,In Person,Successful,15,2026-03-12,Service Planning
50049,3004,2014,2026-02-20,Phone,Voicemail,,2026-03-13,Referral
50050,3004,2014,2026-02-20,Phone,Successful,45,2026-02-23,Referral
50051,3004,2014,2026-02-22,In Person,Successful,30,2026-03-08,Documentation
50052,3005,2007,2025-01-16,Phone,Successful,30,2025-01-23,Service Planning
50053,3005,2007,2025-03-09,Text Message,Client Declined,,,Crisis Support
50054,3005,2007,2025-04-08,Email,Successful,60,2025-04-15,Documentation
50055,3005,2007,2025-04-10,Outreach Attempt,No Answer,,2025-05-10,Documentation
50056,3005,2007,2025-05-22,Phone,No Answer,,2025-06-21,Crisis Support
50057,3005,2007,2025-08-07,Phone,Successful,15,2025-08-10,General Check-In
50058,3005,2007,2025-08-31,Video,Successful,90,2025-09-14,Crisis Support
